token	freq	correction	reason
partv	66	part	dominant(part:182336>>party:59543)
dwision	66	division	dominant(division:137094>>decision:20916)
applivation	66	application	unique(application:76435)
erude	66	crude	dominant(crude:834>>elude:151)
specined	66	specified	dominant(specified:117730>>species:3527)
siaty	65	sixty	dominant(sixty:21667>>silty:5)
npproved	65	approved	unique(approved:173431)
ccce	65	code	dominant(code:604422>>care:92195)
succecding	65	succeeding	unique(succeeding:9603)
appruved	65	approved	unique(approved:173431)
townsbip	65	township	unique(township:14027)
forees	65	forces	dominant(forces:4461>>forges:130)
chiet	65	chief	dominant(chief:28613>>chit:13)
grantec	65	granted	dominant(granted:32879>>grantee:2279)
eharge	65	charge	unique(charge:41082)
tovether	65	together	unique(together:21900)
subpeenas	65	subpoenas	unique(subpoenas:1324)
pubhc	65	pubic	unique(pubic:190)
carnings	65	earnings	dominant(earnings:7060>>warnings:115)
relatine	65	relating	dominant(relating:116899>>relative:20205)
leneth	65	length	unique(length:8444)
cinet	65	cine	dominant(cine:111>>civet:0)
unmediately	65	immediately	dominant(immediately:59281>>mediately:485)
califorria	65	california	unique(california:322009)
fimance	65	finance	unique(finance:37229)
admunistrative	65	administrative	unique(administrative:35353)
dicests	65	digests	dominant(digests:4485>>divests:1074)
secttion	64	section	unique(section:1401134)
appvinted	64	appointed	unique(appointed:49232)
sctting	64	setting	dominant(setting:10774>>sitting:1385)
necded	64	needed	dominant(needed:11037>>necked:5)
appointinent	64	appointment	unique(appointment:25156)
jndge	64	judge	unique(judge:32939)
sitnated	64	situated	unique(situated:12804)
aceept	64	accept	unique(accept:11102)
ecnts	64	cents	unique(cents:25963)
specifving	64	specifying	unique(specifying:4244)
appraisements	64	appraisement	unique(appraisement:606)
vopy	64	copy	dominant(copy:49839>>dopy:0)
propertv	64	property	unique(property:232058)
howevcr	64	however	unique(however:41211)
municipalitics	64	municipalities	unique(municipalities:2416)
conirol	64	control	unique(control:66319)
eaca	64	each	unique(each:290687)
iocal	64	local	dominant(local:127353>>focal:57)
scnool	64	school	unique(school:196893)
chepter	64	chapter	dominant(chapter:358685>>chester:151)
acounty	64	county	unique(county:512140)
bervice	63	service	dominant(service:158069>>bernice:14)
bession	63	session	dominant(session:32223>>cession:119)
mouey	63	money	dominant(money:62085>>mopey:1)
jawfully	63	lawfully	dominant(lawfully:4664>>awfully:4)
arnended	63	amended	dominant(amended:239647>>attended:1581)
lhird	63	third	dominant(third:19340>>laird:14)
supcrintendent	63	superintendent	unique(superintendent:57143)
eertified	63	certified	unique(certified:35534)
nuinber	63	number	unique(number:88053)
jature	63	nature	dominant(nature:12716>>mature:1684)
dutes	63	duties	dominant(duties:60393>>dates:8565)
tuken	63	taken	dominant(taken:40024>>token:138)
dircct	63	direct	unique(direct:25194)
conuty	63	county	unique(county:512140)
jeft	63	left	dominant(left:5234>>jet:308)
fivo	63	five	dominant(five:123871>>filo:77)
sectivn	63	section	unique(section:1401134)
sliall	63	shall	dominant(shall:2006583>>small:14032)
righis	63	rights	unique(rights:40186)
revord	63	record	dominant(record:45639>>reword:0)
militarv	63	military	unique(military:13580)
exelusive	63	exclusive	unique(exclusive:11543)
pricr	63	prior	dominant(prior:102799>>price:20125)
offiec	63	office	unique(office:138824)
celifornia	63	california	unique(california:322009)
busimess	63	business	unique(business:122102)
eollege	63	college	unique(college:41807)
rerular	63	regular	unique(regular:37157)
rerord	63	record	dominant(record:45639>>reword:0)
mformation	63	formation	unique(formation:10211)
protessions	63	professions	dominant(professions:34150>>processions:61)
gaptember	63	september	unique(september:59602)
pumpout	63	purport	dominant(purport:353>>pullout:1)
cpost	63	cost	dominant(cost:69064>>post:5944)
jadgment	62	judgment	unique(judgment:44862)
vhe	62	the	dominant(the:11516483>>he:138153)
aistrict	62	district	dominant(district:378970>>astrict:18)
officcr	62	officer	unique(officer:108773)
payablo	62	payable	unique(payable:60085)
warchouse	62	warehouse	unique(warehouse:1906)
interost	62	interest	unique(interest:116850)
sixtcen	62	sixteen	unique(sixteen:3720)
nrovided	62	provided	unique(provided:300880)
reeorded	62	recorded	dominant(recorded:13928>>reworded:0)
sectton	62	section	unique(section:1401134)
fifly	62	fifty	dominant(fifty:42458>>filly:51)
surcty	62	surety	unique(surety:6409)
eeene	62	been	dominant(been:184233>>event:35052)
approvel	62	approved	dominant(approved:173431>>approval:52484)
sectiox	62	section	unique(section:1401134)
axsembly	62	assembly	unique(assembly:65180)
delinqueney	62	delinquency	unique(delinquency:5299)
weckly	62	weekly	dominant(weekly:3653>>weakly:3)
agamst	62	against	dominant(against:66044>>adams:222)
affeeted	62	affected	unique(affected:29048)
uvon	62	upon	dominant(upon:281887>>avon:26)
rclative	62	relative	unique(relative:20205)
electrie	62	electric	unique(electric:4977)
eourts	62	courts	unique(courts:21777)
resubdivision	62	subdivision	unique(subdivision:242708)
notlee	62	notice	dominant(notice:138786>>note:17687)
pmended	62	amended	dominant(amended:239647>>pended:1205)
entorcement	62	enforcement	unique(enforcement:36453)
supvenor	62	surveyor	unique(surveyor:7157)
nontank	62	montana	dominant(montana:88>>montane:0)
powor	61	power	dominant(power:44641>>poor:1018)
szec	61	sec	dominant(sec:381965>>spec:312)
jieu	61	lieu	unique(lieu:14488)
ainount	61	amount	dominant(amount:233789>>account:58451)
inake	61	intake	dominant(intake:525>>snake:42)
neccssary	61	necessary	unique(necessary:134999)
taxos	61	taxes	dominant(taxes:51697>>taxon:25)
keop	61	keep	dominant(keep:13017>>kelp:314)
committec	61	committee	dominant(committee:75062>>committed:17548)
pnid	61	paid	dominant(paid:133709>>enid:38)
cireumstances	61	circumstances	unique(circumstances:16750)
therenf	61	thereof	unique(thereof:160014)
membors	61	members	unique(members:99374)
crected	61	created	dominant(created:23133>>erected:2817)
eapenses	61	expenses	unique(expenses:58746)
vead	61	read	dominant(read:282008>>head:6670)
clective	61	elective	unique(elective:4492)
hereinhefore	61	hereinbefore	unique(hereinbefore:4838)
surh	61	such	dominant(such:874514>>sur:1893)
bonp	61	bond	dominant(bond:51163>>bona:5087)
dves	61	does	dominant(does:60146>>dies:2231)
attendanee	61	attendance	unique(attendance:34017)
agenvy	61	agency	unique(agency:176766)
hundrec	61	hundred	unique(hundred:155499)
funcs	61	funds	dominant(funds:130199>>fun's:0)
msurer	61	surer	dominant(surer:171>>usurer:1)
peptember	61	september	unique(september:59602)
commitiee	60	committee	unique(committee:75062)
jiable	60	liable	dominant(liable:16338>>viable:299)
folluws	60	follows	unique(follows:158722)
publiv	60	public	unique(public:299558)
cstate	60	state	dominant(state:880230>>estate:32153)
snpervisors	60	supervisors	unique(supervisors:68372)
snbject	60	subject	unique(subject:109537)
offiecrs	60	officers	unique(officers:66657)
tnited	60	united	dominant(united:73201>>tinted:55)
repcal	60	repeal	unique(repeal:27239)
reevive	60	revive	unique(revive:129)
reeommendations	60	recommendations	unique(recommendations:14391)
electior	60	election	dominant(election:122961>>elector:3939)
cffeet	60	effect	dominant(effect:146377>>feet:22189)
acauisition	60	acquisition	unique(acquisition:24462)
whicl	60	which	dominant(which:638761>>whirl:2)
averave	60	average	unique(average:27812)
nursuant	60	pursuant	unique(pursuant:316406)
amouni	60	amount	unique(amount:233789)
inerements	60	increments	unique(increments:2191)
asused	60	abused	dominant(abused:733>>amused:0)
qualifiea	59	qualified	dominant(qualified:51243>>qualifies:2541)
efiect	59	effect	unique(effect:146377)
sapervisors	59	supervisors	unique(supervisors:68372)
highteenth	59	eighteenth	unique(eighteenth:731)
cosis	59	costs	dominant(costs:81829>>coss:9)
oceupy	59	occupy	unique(occupy:1173)
sueb	59	sub	dominant(sub:9495>>sue:2429)
hmit	59	mit	dominant(mit:907>>omit:299)
probibit	59	prohibit	unique(prohibit:9799)
yenrs	59	years	dominant(years:112149>>yens:4)
owncr	59	owner	unique(owner:51366)
superiniendent	59	superintendent	unique(superintendent:57143)
reeciving	59	receiving	unique(receiving:22301)
sucl	59	such	dominant(such:874514>>suck:605)
amerded	59	amended	dominant(amended:239647>>amerced:2)
mereed	59	merged	unique(merged:1361)
burcau	59	bureau	unique(bureau:13251)
provedure	59	procedure	unique(procedure:35336)
huncred	59	hundred	dominant(hundred:155499>>hunched:1)
jegislation	59	legislation	unique(legislation:7846)
havine	59	having	dominant(having:44420>>ravine:98)
diviston	59	division	unique(division:137094)
heanng	59	hearing	dominant(hearing:81746>>meaning:27057)
dusiness	59	business	dominant(business:122102>>duskiness:0)
statisties	59	statistics	unique(statistics:2521)
eonnection	59	connection	unique(connection:25325)
loeated	59	located	unique(located:29015)
accordanee	59	accordance	unique(accordance:66778)
commissicn	59	commission	unique(commission:129376)
stction	59	section	dominant(section:1401134>>station:5938)
veriod	59	period	unique(period:99289)
unemplovment	59	unemployment	unique(unemployment:12607)
jumor	59	juror	dominant(juror:3716>>tumor:42)
svstems	59	systems	unique(systems:13992)
prosram	59	program	unique(program:136377)
authonzes	59	authorizes	unique(authorizes:6666)
sanie	58	sane	dominant(sane:672>>janie:8)
firsi	58	first	dominant(first:99428>>firs:100)
cuarrer	58	charter	dominant(charter:59157>>quarter:13021)
amenc	58	amend	dominant(amend:84240>>amen:168)
bridgo	58	bridge	unique(bridge:10313)
hesolution	58	resolution	unique(resolution:77952)
deeember	58	december	unique(december:19879)
offives	58	offices	unique(offices:17866)
inust	58	inst	dominant(inst:92>>inuit:0)
corpuration	58	corporation	unique(corporation:92152)
preseribing	58	prescribing	unique(prescribing:2987)
convevance	58	conveyance	dominant(conveyance:3928>>convenance:0)
srate	58	state	dominant(state:880230>>rate:64480)
transeript	58	transcript	unique(transcript:3247)
recvive	58	receive	dominant(receive:75091>>revive:129)
asscssments	58	assessments	unique(assessments:20208)
discases	58	diseases	dominant(diseases:2652>>discuses:3)
gereral	58	general	unique(general:134878)
janguage	58	language	unique(language:8763)
ehief	58	chief	dominant(chief:28613>>thief:35)
slale	58	sale	dominant(sale:88406>>slate:1976)
inelnde	58	include	unique(include:73727)
pareels	58	parcels	unique(parcels:5275)
manaver	58	manager	unique(manager:13474)
frovisions	58	provisions	unique(provisions:211160)
sectwn	58	section	dominant(section:1401134>>sector:1632)
pursuent	58	pursuant	unique(pursuant:316406)
nercent	58	percent	unique(percent:72590)
entitv	58	entity	unique(entity:27075)
highteen	57	eighteen	unique(eighteen:14650)
resolntion	57	resolution	unique(resolution:77952)
balary	57	salary	dominant(salary:69927>>alary:10)
btatutes	57	statutes	unique(statutes:43417)
clty	57	city	dominant(city:310083>>clay:330)
shoriff	57	sheriff	unique(sheriff:14582)
anthor	57	author	dominant(author:5312>>anchor:178)
suceceding	57	succeeding	unique(succeeding:9603)
cilies	57	cities	dominant(cities:20019>>civies:19)
asscts	57	assets	unique(assets:13368)
calirornia	57	california	unique(california:322009)
eommon	57	common	unique(common:17822)
aduption	57	adoption	dominant(adoption:27501>>adaption:11)
memhers	57	members	unique(members:99374)
wirness	57	witness	dominant(witness:11002>>wiriness:0)
durine	57	during	dominant(during:95570>>urine:686)
requiremenis	57	requirements	unique(requirements:62915)
eapproved	57	approved	unique(approved:173431)
felative	57	relative	dominant(relative:20205>>elative:9)
crapter	57	chapter	dominant(chapter:358685>>crater:10)
accoune	57	account	unique(account:58451)
judgmont	56	judgment	unique(judgment:44862)
deelared	56	declared	unique(declared:17788)
shonld	56	should	unique(should:23648)
justico	56	justice	unique(justice:33182)
selary	56	salary	dominant(salary:69927>>senary:0)
olfice	56	office	unique(office:138824)
revords	56	records	dominant(records:39746>>rewords:0)
coutrol	56	control	unique(control:66319)
himsclf	56	himself	unique(himself:6806)
exccuted	56	executed	unique(executed:11181)
gity	56	city	dominant(city:310083>>git:43)
fiftecn	56	fifteen	unique(fifteen:14965)
governinent	56	government	unique(government:125819)
nnless	56	unless	unique(unless:96445)
revular	56	regular	unique(regular:37157)
exusting	56	existing	dominant(existing:66172>>exulting:0)
jegislature	56	legislature	unique(legislature:98674)
aljl	56	all	unique(all:421103)
approvec	56	approved	dominant(approved:173431>>approve:12634)
politival	56	political	unique(political:28466)
icgislative	56	legislative	unique(legislative:49293)
weltare	56	welfare	unique(welfare:49915)
melude	56	elude	dominant(elude:151>>delude:0)
tinited	56	tinted	dominant(tinted:55>>tincted:0)
relalive	56	relative	unique(relative:20205)
hallot	56	ballot	dominant(ballot:17330>>allot:239)
purpcses	56	purposes	unique(purposes:145202)
svch	56	such	dominant(such:874514>>sech:5)
obligees	56	obligee	dominant(obligee:766>>obliges:4)
termmation	56	termination	dominant(termination:13784>>permeation:14)
ureeney	56	urgency	dominant(urgency:28390>>greene:682)
requrements	56	requirements	unique(requirements:62915)
powets	56	powers	dominant(powers:40637>>poets:26)
eeptember	56	september	unique(september:59602)
sutuction	56	situation	dominant(situation:2222>>suction:369)
ftovisions	56	provisions	unique(provisions:211160)
thercupon	55	thereupon	unique(thereupon:8038)
effoct	55	effect	dominant(effect:146377>>effort:4042)
snme	55	same	dominant(same:176551>>some:14503)
transterred	55	transferred	unique(transferred:24462)
rvad	55	read	dominant(read:282008>>road:27498)
scrvice	55	service	unique(service:158069)
dcemed	55	deemed	unique(deemed:43813)
hmits	55	omits	dominant(omits:267>>emits:71)
issuo	55	issue	dominant(issue:43988>>issus:0)
purpese	55	purpose	unique(purpose:98040)
ovor	55	over	dominant(over:41648>>odor:94)
officor	55	officer	unique(officer:108773)
horein	55	herein	dominant(herein:40047>>hordein:0)
schvols	55	schools	unique(schools:50360)
desiynated	55	designated	unique(designated:44673)
sontherly	55	southerly	unique(southerly:8052)
covnty	55	county	unique(county:512140)
balanee	55	balance	unique(balance:17038)
expeuses	55	expenses	unique(expenses:58746)
aipine	55	alpine	unique(alpine:884)
evidenee	55	evidence	unique(evidence:38458)
anacl	55	anal	unique(anal:599)
qualifving	55	qualifying	unique(qualifying:5077)
jicensed	55	licensed	unique(licensed:40828)
exeeutive	55	executive	unique(executive:17261)
beeause	55	because	unique(because:32120)
tiat	55	that	dominant(that:864378>>tat:181)
communitv	55	community	unique(community:61745)
vehicie	55	vehicle	unique(vehicle:96382)
colleve	55	college	unique(college:41807)
prionty	55	priority	dominant(priority:9433>>print:2368)
overative	55	operative	dominant(operative:43503>>overactive:0)
muking	54	making	dominant(making:49087>>miking:5)
jimits	54	limits	unique(limits:14535)
mombers	54	members	dominant(members:99374>>bombers:13)
shnll	54	shall	dominant(shall:2006583>>shell:1725)
fullv	54	full	dominant(full:45342>>fully:11768)
sxotion	54	section	dominant(section:1401134>>motion:17050)
sbal	54	seal	dominant(seal:10022>>sal:1047)
generai	54	general	dominant(general:134878>>genera:1182)
logislature	54	legislature	unique(legislature:98674)
causo	54	cause	dominant(cause:51313>>canso:14)
certificd	54	certified	unique(certified:35534)
dicm	54	diem	dominant(diem:4838>>dice:99)
turther	54	further	dominant(further:55001>>murther:1)
oifice	54	office	dominant(office:138824>>orifice:58)
relutive	54	relative	unique(relative:20205)
exceution	54	execution	dominant(execution:12813>>exception:3515)
boundanes	54	boundaries	unique(boundaries:21350)
cirenlation	54	circulation	dominant(circulation:9775>>corelation:0)
exnenses	54	expenses	unique(expenses:58746)
carricr	54	carrier	unique(carrier:10699)
enforeing	54	enforcing	unique(enforcing:3229)
speeified	54	specified	unique(specified:117730)
eommencing	54	commencing	unique(commencing:133789)
jtem	54	item	dominant(item:72668>>stem:471)
iniraction	54	infraction	unique(infraction:15090)
sgcrion	53	section	dominant(section:1401134>>suction:369)
whien	53	when	dominant(when:127905>>wien:130)
thercot	53	thereof	dominant(thereof:160014>>thereto:37039)
oxceed	53	exceed	unique(exceed:73780)
deom	53	deem	dominant(deem:9438>>dem:93)
sxection	53	section	unique(section:1401134)
thetr	53	their	dominant(their:117217>>theta:31)
decds	53	deeds	dominant(deeds:3159>>decks:12)
appoimted	53	appointed	unique(appointed:49232)
contraet	53	contract	dominant(contract:91930>>contrast:171)
dutles	53	duties	dominant(duties:60393>>dulles:12)
purposo	53	purpose	unique(purpose:98040)
coutract	53	contract	unique(contract:91930)
bedy	53	body	dominant(body:52039>>beds:2311)
sorvices	53	services	unique(services:187802)
avenuc	53	avenue	unique(avenue:8626)
iands	53	lands	dominant(lands:41246>>hands:4387)
menibers	53	members	dominant(members:99374>>monikers:3)
ciapter	53	chapter	unique(chapter:358685)
eultural	53	cultural	unique(cultural:2801)
dircctor	53	director	unique(director:101827)
purehaser	53	purchaser	unique(purchaser:15297)
vranted	53	granted	dominant(granted:32879>>ranted:36)
fducation	53	education	unique(education:130034)
conveved	53	conveyed	dominant(conveyed:2790>>convened:760)
jiability	53	liability	dominant(liability:27341>>viability:332)
mamtenance	53	maintenance	unique(maintenance:29243)
acquisilion	53	acquisition	unique(acquisition:24462)
eontain	53	contain	unique(contain:22497)
ineumbent	53	incumbent	unique(incumbent:3106)
geney	53	gene	dominant(gene:169>>genes:49)
hurdred	53	hundred	dominant(hundred:155499>>hurdled:0)
reereation	53	recreation	unique(recreation:12432)
ctherwise	53	otherwise	unique(otherwise:89921)
mcre	53	more	dominant(more:150559>>acre:2739)
resnect	53	respect	dominant(respect:52586>>resect:10)
ammediately	53	immediately	unique(immediately:59281)
securitv	53	security	unique(security:35990)
chaptter	53	chapter	dominant(chapter:358685>>chatter:17)
pursuart	53	pursuant	unique(pursuant:316406)
appropniation	53	appropriation	unique(appropriation:39269)
yoars	52	years	dominant(years:112149>>yours:74)
srection	52	section	dominant(section:1401134>>erection:2193)
olerk	52	clerk	unique(clerk:97979)
fuur	52	four	dominant(four:63763>>fur:4969)
omicers	52	officers	dominant(officers:66657>>miners:291)
srerion	52	region	dominant(region:4364>>sermon:7)
payabie	52	payable	unique(payable:60085)
subpcenaed	52	subpoenaed	unique(subpoenaed:294)
dollara	52	dollars	dominant(dollars:212257>>dollar:11283)
sucramento	52	sacramento	unique(sacramento:15558)
coneerning	52	concerning	unique(concerning:17455)
virtne	52	virtue	unique(virtue:7052)
kecp	52	keep	dominant(keep:13017>>kelp:314)
deficieney	52	deficiency	unique(deficiency:6903)
chanve	52	change	dominant(change:32485>>chance:400)
nntil	52	until	unique(until:77436)
sourees	52	sources	unique(sources:11542)
proposcd	52	proposed	unique(proposed:75852)
ennct	52	enact	unique(enact:95122)
carrv	52	carry	dominant(carry:21229>>carr:76)
meurred	52	merged	dominant(merged:1361>>metered:91)
mtent	52	tent	dominant(tent:989>>stent:21)
pctition	52	petition	unique(petition:57152)
cnapter	52	chapter	unique(chapter:358685)
appoimtment	52	appointment	unique(appointment:25156)
subseyuent	52	subsequent	unique(subsequent:23461)
conunued	52	continued	dominant(continued:11042>>counted:3436)
eountv	52	county	dominant(county:512140>>count:4795)
vommission	52	commission	unique(commission:129376)
utilitv	52	utility	unique(utility:15214)
phvsical	52	physical	unique(physical:20362)
heensed	52	censed	dominant(censed:178>>sensed:4)
tvpe	52	type	dominant(type:17974>>tape:1494)
depertment	52	department	dominant(department:322917>>deportment:5)
plovee	52	plover	unique(plover:65)
aleoholie	52	alcoholic	dominant(alcoholic:6479>>alcoholize:0)
imsurer	52	insurer	dominant(insurer:23183>>impurer:0)
divisicn	52	division	unique(division:137094)
reumbursement	52	reimbursement	unique(reimbursement:32291)
coownership	52	ownership	unique(ownership:13081)
facihty	52	facility	dominant(facility:61690>>faculty:3184)
whero	51	where	dominant(where:76940>>hero:48)
sxzc	51	sec	dominant(sec:381965>>size:10068)
duttes	51	duties	dominant(duties:60393>>buttes:16)
mentof	51	mentor	dominant(mentor:368>>menton:3)
autborized	51	authorized	unique(authorized:94173)
countios	51	counties	unique(counties:53758)
balaries	51	salaries	unique(salaries:24293)
condueted	51	conducted	unique(conducted:21955)
avreement	51	agreement	unique(agreement:47959)
constraction	51	construction	dominant(construction:56614>>constriction:31)
aforcsaid	51	aforesaid	unique(aforesaid:7864)
dircction	51	direction	unique(direction:10316)
jetters	51	letters	dominant(letters:5479>>fetters:3)
ulso	51	also	unique(also:77592)
passaye	51	passage	dominant(passage:11174>>passade:0)
wuerreas	51	whereas	unique(whereas:32050)
tlic	51	tic	dominant(tic:164>>telic:0)
herealter	51	hereafter	unique(hereafter:19758)
souree	51	source	dominant(source:11257>>soured:1)
thelr	51	their	unique(their:117217)
cluss	51	class	dominant(class:44865>>clubs:1008)
meinbers	51	members	dominant(members:99374>>miners:291)
eenee	51	renee	unique(renee:1428)
appoimt	51	appoint	unique(appoint:28939)
iegal	51	legal	dominant(legal:34311>>regal:22)
loard	51	board	dominant(board:460792>>hoard:2623)
couniy	51	county	unique(county:512140)
wueneas	51	whereas	dominant(whereas:32050>>aeneas:1)
acorporation	51	corporation	unique(corporation:92152)
numbercd	51	numbered	unique(numbered:12801)
coniract	51	contract	unique(contract:91930)
agencics	51	agencies	unique(agencies:52963)
acyuisition	51	acquisition	unique(acquisition:24462)
sccrion	51	section	dominant(section:1401134>>suction:369)
divisior	51	division	dominant(division:137094>>divisor:203)
nctice	51	notice	unique(notice:138786)
baleony	51	balcony	unique(balcony:68)
permt	51	permit	dominant(permit:50580>>pert:161)
utihties	51	utilities	dominant(utilities:18249>>titties:2)
requirec	51	required	dominant(required:172879>>require:57624)
authcrized	51	authorized	unique(authorized:94173)
chapterr	51	chapter	dominant(chapter:358685>>chapters:3156)
remburse	51	reimburse	unique(reimburse:9984)
proposec	51	proposed	dominant(proposed:75852>>propose:2972)
clinie	51	clinic	dominant(clinic:4001>>cline:27)
offsale	51	offal	dominant(offal:212>>offside:0)
champus	51	campus	dominant(campus:5161>>champ's:0)
oceu	50	one	dominant(one:317854>>over:41648)
instrue	50	insure	dominant(insure:4455>>instruct:956)
pussage	50	passage	unique(passage:11174)
attornoy	50	attorney	unique(attorney:55433)
entercd	50	entered	unique(entered:21948)
vebicles	50	vehicles	dominant(vehicles:28672>>vesicles:2)
whenover	50	whenever	unique(whenever:35138)
coart	50	court	dominant(court:242103>>coast:4744)
appvint	50	appoint	unique(appoint:28939)
agninst	50	against	unique(against:66044)
puyment	50	payment	unique(payment:105517)
bronght	50	brought	unique(brought:13065)
justive	50	justice	dominant(justice:33182>>jussive:0)
payinent	50	payment	dominant(payment:105517>>patient:13428)
huadred	50	hundred	unique(hundred:155499)
inenrred	50	incurred	dominant(incurred:38556>>interred:323)
alung	50	along	dominant(along:29910>>lung:170)
insnrance	50	insurance	unique(insurance:71967)
bvard	50	board	dominant(board:460792>>beard:706)
placcs	50	places	unique(places:15119)
nereby	50	hereby	unique(hereby:106164)
therealter	50	thereafter	unique(thereafter:34064)
cquipment	50	equipment	unique(equipment:34393)
elevtion	50	election	dominant(election:122961>>elevation:178)
coune	50	count	dominant(count:4795>>cone:164)
imto	50	into	dominant(into:96580>>ito:110)
cireum	50	cream	dominant(cream:5155>>circus:64)
appropn	50	approve	dominant(approve:12634>>apron:33)
aschool	50	school	unique(school:196893)
ccurt	50	court	dominant(court:242103>>curt:29)
polilical	50	political	unique(political:28466)
icgislature	50	legislature	unique(legislature:98674)
narcotie	50	narcotic	dominant(narcotic:2190>>narcotize:0)
richts	50	rights	dominant(rights:40186>>riches:2)
savines	50	savings	dominant(savings:15350>>ravines:5)
ilighway	50	highway	unique(highway:40778)
paragrapn	50	paragraph	unique(paragraph:70527)
buaget	50	budget	unique(budget:49202)
sechedule	50	schedule	unique(schedule:46867)
reappropriates	50	appropriates	unique(appropriates:597)
rereferred	50	referred	dominant(referred:16105>>preferred:1406)
selpa	50	selma	dominant(selma:98>>salpa:0)
thenco	49	thence	unique(thence:40598)
cominission	49	commission	unique(commission:129376)
apph	49	apply	dominant(apply:71724>>ph:535)
certitied	49	certified	unique(certified:35534)
ninc	49	nine	dominant(nine:21319>>inc:1073)
wuernas	49	whereas	dominant(whereas:32050>>duennas:0)
jaly	49	july	dominant(july:75897>>jay:183)
jndgment	49	judgment	unique(judgment:44862)
aceepted	49	accepted	unique(accepted:7354)
justives	49	justices	unique(justices:8311)
provido	49	provide	dominant(provide:121470>>proviso:679)
approyed	49	approved	unique(approved:173431)
streots	49	streets	unique(streets:20981)
xaid	49	said	dominant(said:424830>>paid:133709)
wiih	49	with	dominant(with:812535>>wish:1166)
hervin	49	herein	dominant(herein:40047>>heroin:457)
thiy	49	this	dominant(this:1072897>>they:49784)
scssion	49	session	dominant(session:32223>>scission:0)
receint	49	receipt	dominant(receipt:30428>>recent:4585)
viclation	49	violation	unique(violation:50606)
rotice	49	notice	unique(notice:138786)
septernber	49	september	unique(september:59602)
ordmance	49	ordnance	unique(ordnance:191)
hving	49	having	dominant(having:44420>>hiving:4)
ereck	49	erect	dominant(erect:1987>>wreck:79)
sunerintendent	49	superintendent	unique(superintendent:57143)
eollection	49	collection	unique(collection:20718)
stenographie	49	stenographic	unique(stenographic:639)
nublic	49	public	unique(public:299558)
exammation	49	examination	dominant(examination:31415>>exhumation:9)
daie	49	date	dominant(date:176125>>die:1386)
wucreas	49	whereas	dominant(whereas:32050>>lucre's:0)
liabilitv	49	liability	unique(liability:27341)
cobey	49	obey	dominant(obey:1112>>corey:86)
partios	48	parties	dominant(parties:24522>>patios:58)
crvil	48	civil	dominant(civil:72956>>cavil:3)
articte	48	article	dominant(article:188766>>artiste:0)
kvery	48	every	dominant(every:68289>>very:2230)
forve	48	force	dominant(force:23605>>fore:2121)
belore	48	before	unique(before:109151)
conrts	48	courts	unique(courts:21777)
thousend	48	thousand	unique(thousand:115688)
snfficient	48	sufficient	unique(sufficient:32519)
thousaud	48	thousand	unique(thousand:115688)
thix	48	this	dominant(this:1072897>>thin:174)
trusteos	48	trustees	unique(trustees:26083)
pluce	48	place	dominant(place:63421>>plume:57)
kducation	48	education	unique(education:130034)
eacept	48	except	unique(except:119171)
blections	48	elections	dominant(elections:25405>>flections:36)
pubiic	48	public	dominant(public:299558>>pubic:190)
hereinaiter	48	hereinafter	unique(hereinafter:10722)
colleetor	48	collector	unique(collector:13544)
unlawiul	48	unlawful	unique(unlawful:13420)
toard	48	board	dominant(board:460792>>toward:4262)
lereby	48	hereby	unique(hereby:106164)
vompensation	48	compensation	unique(compensation:66702)
disabilitv	48	disability	unique(disability:23881)
ajudgment	48	judgment	dominant(judgment:44862>>adjudgment:1)
commeneing	48	commencing	dominant(commencing:133789>>commending:186)
defimtion	48	definition	dominant(definition:8952>>deviation:203)
erops	48	crops	dominant(crops:1866>>drops:38)
tencment	48	tenement	unique(tenement:1050)
varry	48	carry	dominant(carry:21229>>vary:842)
approprialing	48	appropriating	unique(appropriating:1605)
pereentage	48	percentage	unique(percentage:15462)
mecessary	48	necessary	unique(necessary:134999)
healih	48	health	unique(health:180937)
addec	48	added	dominant(added:94074>>adder:7)
authorizec	48	authorized	dominant(authorized:94173>>authorize:23254)
budeet	48	budget	unique(budget:49202)
chaprter	48	chapter	dominant(chapter:358685>>charter:59157)
proyects	48	projects	dominant(projects:26531>>protects:157)
hcensing	48	censing	unique(censing:54)
pvea	48	plea	dominant(plea:3582>>pea:98)
menner	47	manner	dominant(manner:84354>>tenner:115)
spectal	47	special	dominant(special:80379>>spectral:2)
certifivates	47	certificates	unique(certificates:16588)
fuil	47	full	dominant(full:45342>>fuel:9599)
passave	47	passage	dominant(passage:11174>>passive:315)
wuereras	47	whereas	dominant(whereas:32050>>guerezas:0)
bofore	47	before	unique(before:109151)
judginent	47	judgment	dominant(judgment:44862>>judgement:280)
orivinal	47	original	unique(original:28183)
whicb	47	which	unique(which:638761)
nolice	47	notice	dominant(notice:138786>>police:21570)
constrnetion	47	construction	dominant(construction:56614>>constriction:31)
benetits	47	benefits	unique(benefits:39317)
jrom	47	from	dominant(from:478067>>rom:1086)
mnder	47	under	dominant(under:386358>>minder:5)
vrovisions	47	provisions	unique(provisions:211160)
transier	47	transfer	unique(transfer:50253)
exccutive	47	executive	unique(executive:17261)
coroncr	47	coroner	unique(coroner:4489)
meluded	47	eluded	dominant(eluded:178>>melded:5)
acyuired	47	acquired	unique(acquired:17088)
