token	corpus_freq	reason
seeeeeee	28	no_candidate
xame	28	ambiguous(same:176551/name:61874)
joaned	28	ambiguous(loaned:1892/joined:932)
iting	28	ambiguous(ting:540/siting:442)
innds	28	ambiguous(inns:27/inn's:0)
londs	28	ambiguous(bonds:113404/lands:41246)
offoct	28	ambiguous(effect:146377/office:138824)
porary	28	weak_unique(horary:1)
calpella	28	weak_unique(capella:1)
aecording	28	ambiguous(according:13089/recording:6790)
replanking	28	weak_unique(replanting:35)
transue	28	weak_unique(transude:0)
annlv	28	ambiguous(angle:1015/annex:868)
tigation	28	weak_unique(ligation:34)
caltforma	28	no_candidate
forty-fiftil	28	no_candidate
receivec	28	ambiguous(receive:75091/received:56222)
policv	28	ambiguous(policy:29258/police:21570)
blairsden	28	no_candidate
iccal	28	ambiguous(local:127353/fiscal:88410)
nonfire	28	weak_unique(bonfire:3)
nonsupervisory	28	no_candidate
phenmetrazine	28	no_candidate
housecars	28	ambiguous(horsecars:0/housecarl:0)
nonschoolday	28	no_candidate
cceeeeeeee	28	no_candidate
nonoffending	28	weak_unique(unoffending:0)
vanpooling	28	weak_unique(carpooling:24)
nonadversarial	28	no_candidate
lindheim	28	weak_unique(blindheim:0)
jority	27	ambiguous(majority:28127/forty:18769)
fortysix	27	weak_unique(fortyish:0)
stantial	27	ambiguous(spatial:18/statical:0)
fiftytwo	27	no_candidate
bxc	27	ambiguous(exc:49/bic:35)
markleeville	27	no_candidate
oight	27	ambiguous(right:50843/eight:27364)
whoin	27	weak_unique(whin:1)
tious	27	ambiguous(thous:17/titus:5)
quict	27	ambiguous(quiet:493/quit:183)
moucy	27	weak_unique(mousy:1)
scem	27	ambiguous(seem:800/stem:471)
payab	27	ambiguous(pay:88347/payable:60085)
appropriahereby	27	no_candidate
enees	27	ambiguous(knees:3/ene's:0)
bohnett	27	ambiguous(burnett:85/bennett:68)
superindred	27	no_candidate
palities	27	ambiguous(polities:13/parities:3)
comties	27	ambiguous(commies:3/cooties:0)
sveh	27	weak_unique(sven:29)
iuled	27	ambiguous(ruled:250/puled:106)
meludes	27	ambiguous(eludes:36/deludes:0)
cholame	27	ambiguous(chelate:2/chorale:2)
jender	27	ambiguous(render:6306/lender:4107)
dattier	27	ambiguous(battier:0/cattier:0)
dizmar	27	ambiguous(disbar:22/dagmar:2)
ficer	27	ambiguous(fiber:514/filer:276)
nondeductibility	27	no_candidate
noncompensable	27	no_candidate
dolwig	27	ambiguous(doling:3/dowie:1)
nonspouse	27	no_candidate
cccceeeee	27	no_candidate
nonownership	27	no_candidate
fléchette	27	no_candidate
calnet	27	weak_unique(carnet:0)
eeeeeeeeeees	27	no_candidate
hemapheresis	27	no_candidate
jeading	26	ambiguous(heading:8548/reading:3581)
sonally	26	ambiguous(tonally:1/zonally:0)
ereee	26	ambiguous(free:12771/creek:5238)
vahd	26	ambiguous(fahd:0/vaud:0)
ensation	26	weak_unique(sensation:8)
sessed	26	ambiguous(sensed:4/fessed:0)
licutenant-governor	26	no_candidate
loast	26	ambiguous(least:63279/last:31621)
cighty-six	26	no_candidate
forin	26	ambiguous(orin:38/florin:20)
icgal	26	ambiguous(legal:34311/cal:15486)
vrade	26	ambiguous(grade:14677/trade:13609)
furmsh	26	ambiguous(furnish:12830/forms:10863)
narne	26	ambiguous(carne:16/marne:7)
limt	26	ambiguous(list:22115/limit:16357)
wuenrzas	26	no_candidate
wuere	26	ambiguous(where:76940/were:35588)
heremabove	26	no_candidate
pistnet	26	ambiguous(piste:17/pistes:2)
wauerras	26	no_candidate
ecurt	26	weak_unique(curt:29)
entrymen	26	weak_unique(vestrymen:0)
nommation	26	ambiguous(formation:10211/nomination:7729)
wauerzas	26	no_candidate
xill	26	ambiguous(bill:115264/will:90047)
effee	26	ambiguous(effie:6/effed:1)
jamacha	26	ambiguous(jamaica:10/camacho:2)
nongeneral	26	no_candidate
nutgrass	26	weak_unique(knotgrass:0)
nonregulatory	26	no_candidate
stepc	26	ambiguous(step:6891/steps:3251)
rehrement	26	weak_unique(recrement:0)
nonvested	26	ambiguous(invested:4097/converted:2041)
peliee	26	ambiguous(pelee:16/pelite:0)
aitangemenl	26	no_candidate
officet	26	ambiguous(office:138824/officer:108773)
airbill	26	ambiguous(airily:0/arbil:0)
schabarum	26	no_candidate
nonhalogenated	26	no_candidate
nonrenew	26	no_candidate
cervantez	26	weak_unique(cervantes:4)
criginal	25	ambiguous(original:28183/criminal:26841)
uation	25	ambiguous(nation:4827/cation:4096)
ditional	25	ambiguous(additional:52267/national:20835)
cnav	25	weak_unique(cav:6)
bandred	25	ambiguous(banded:25/bandied:1)
iret	25	ambiguous(ire:130/fret:47)
therchy	25	weak_unique(thearchy:0)
indorsee	25	ambiguous(indorsed:1040/indorse:748)
plaus	25	ambiguous(plans:27582/plus:10600)
francisen	25	ambiguous(francisco:21120/franchise:21084)
ficial	25	ambiguous(facial:45/filial:1)
anpum	25	ambiguous(input:803/annul:453)
wuenrras	25	no_candidate
sbali	25	weak_unique(bali:5)
pohce	25	weak_unique(ponce:18)
serip	25	ambiguous(strip:502/scrip:199)
deerned	25	ambiguous(defined:59720/deemed:43813)
eable	25	ambiguous(able:12497/enable:6766)
thirty-cighth	25	no_candidate
tted	25	ambiguous(ted:610/tied:433)
watergates	25	weak_unique(watergate:0)
subregistrar	25	no_candidate
furbearing	25	weak_unique(forbearing:0)
dstnet	25	ambiguous(stent:21/stet:19)
sinsheimer	25	no_candidate
buchon	25	weak_unique(buchan:0)
ilarbor	25	ambiguous(labor:27236/harbor:9310)
eards	25	ambiguous(wards:2322/cards:2306)
panama-pacifie	25	no_candidate
pubbeation	25	no_candidate
audito	25	ambiguous(auditor:25015/audit:10586)
fitate	25	weak_unique(fixate:0)
exnended	25	ambiguous(expended:17893/extended:9914)
condemnor	25	ambiguous(contemnor:9/condemner:0)
kelloggvoorhis	25	no_candidate
stepb	25	ambiguous(step:6891/steps:3251)
nonforwardable	25	no_candidate
eeeneeeeeee	25	no_candidate
nisene	25	weak_unique(nicene:1)
offhighway	25	no_candidate
ccceeeeeeee	25	no_candidate
ccceeeeeee	25	no_candidate
phenazocine	25	weak_unique(phenazine:0)
decocainized	25	weak_unique(cocainized:0)
nonearthen	25	no_candidate
nondiagnostic	25	no_candidate
buspools	25	weak_unique(spools:0)
knopki	25	ambiguous(knock:15/knocks:0)
flushometer	25	weak_unique(fluorometer:0)
subgrants	25	weak_unique(subtracts:9)
nonprivileged	25	weak_unique(unprivileged:9)
tuted	24	ambiguous(muted:14/tuned:12)
nardino	24	ambiguous(marino:76/sardine:48)
wnere	24	ambiguous(where:76940/were:35588)
cightoon	24	no_candidate
eeneeeee	24	no_candidate
jation	24	ambiguous(nation:4827/cation:4096)
compotent	24	ambiguous(competent:9356/component:3496)
staic	24	ambiguous(stair:92/static:66)
wuenrsas	24	no_candidate
innd	24	ambiguous(inn:325/ind:265)
appropra	24	no_candidate
neld	24	ambiguous(held:60938/need:24956)
disincorporating	24	no_candidate
multiphed	24	weak_unique(multiped:0)
cless	24	ambiguous(less:95989/class:44865)
llagas	24	weak_unique(llamas:0)
maiter	24	ambiguous(matter:19649/master:6607)
hghting	24	ambiguous(lighting:2358/hunting:1900)
tiguous	24	ambiguous(tenuous:2/exiguous:0)
famihes	24	ambiguous(famines:0/famishes:0)
mtended	24	ambiguous(tended:445/mended:438)
fective	24	ambiguous(festive:11/fictive:0)
aguanga	24	ambiguous(agana:0/iguana:0)
riod	24	ambiguous(rio:676/riot:447)
emment	24	ambiguous(emmett:11/emmet:8)
delnery	24	weak_unique(deanery:0)
excludible	24	no_candidate
eeeeeeeeeeeeeeee	24	no_candidate
nonrenewed	24	weak_unique(unrenewed:1)
eeneneeeeereees	24	no_candidate
preproject	24	no_candidate
anileridine	24	no_candidate
piminodine	24	no_candidate
isomethadone	24	no_candidate
levorphanol	24	no_candidate
timpany	24	ambiguous(tympany:1/timpani:0)
allcounty	24	no_candidate
phenylcyclohexyl	24	no_candidate
nonseverely	24	no_candidate
fayor	23	ambiguous(mayor:15505/favor:12991)
devisadero	23	no_candidate
cludes	23	ambiguous(eludes:36/clues:14)
seeree	23	weak_unique(sheree:0)
sixty-threc	23	no_candidate
cuoar	23	weak_unique(cupar:0)
sirth	23	ambiguous(birth:5607/sixth:5585)
providea	23	ambiguous(provided:300880/provide:121470)
eenes	23	ambiguous(genes:49/menes:5)
disposa	23	ambiguous(disposal:9883/dispose:4559)
decom	23	ambiguous(decoy:43/deco:10)
thirty-siath	23	no_candidate
veyance	23	ambiguous(vance:118/abeyance:42)
devree	23	ambiguous(degree:8984/decree:4247)
tirey	23	ambiguous(tire:1240/tires:973)
forty-cighth	23	no_candidate
nember	23	ambiguous(member:100238/number:88053)
deputyships	23	no_candidate
hereinahove	23	no_candidate
represa	23	weak_unique(repress:4)
rnore	23	weak_unique(snore:13)
appheants	23	no_candidate
determinec	23	ambiguous(determined:60127/determine:40531)
navable	23	ambiguous(namable:0/savable:0)
governmg	23	ambiguous(governor:106610/governing:56153)
appheatio	23	no_candidate
rerecordation	23	weak_unique(redecoration:0)
redrilled	23	ambiguous(drilled:304/refilled:121)
delaveaga	23	no_candidate
rehabili	23	no_candidate
niehouse	23	ambiguous(firehouse:16/alehouse:0)
perlette	23	ambiguous(perlite:13/permeate:2)
strohecker	23	no_candidate
oblberg	23	weak_unique(arlberg:0)
eeneneeee	23	no_candidate
hydroxy-nordihydromorphinone	23	no_candidate
bezitramide	23	no_candidate
nonqualifying	23	no_candidate
resubmittal	23	ambiguous(submittal:558/resubmitted:223)
nonmonetized	23	no_candidate
buspool	23	weak_unique(spool:2)
terested	22	ambiguous(interested:12224/treated:8290)
sxcrron	22	ambiguous(sharron:8/scarron:0)
siaty-three	22	no_candidate
slong	22	ambiguous(along:29910/long:18687)
thuse	22	ambiguous(those:94987/these:57269)
ccecee	22	no_candidate
adupt	22	ambiguous(adopt:25575/adult:12492)
inbor	22	weak_unique(inborn:0)
recla	22	weak_unique(recta:1)
assoon	22	ambiguous(bassoon:0/sassoon:0)
annuni	22	weak_unique(annuli:0)
slature	22	weak_unique(stature:25)
poundkeepers	22	no_candidate
tioner	22	ambiguous(toner:46/tinner:0)
hourd	22	ambiguous(hours:22584/hour:7908)
accumu	22	weak_unique(accuse:2)
huichica	22	no_candidate
tillermen	22	no_candidate
taxley	22	weak_unique(talley:2)
heisinger	22	weak_unique(feininger:0)
prelimi	22	weak_unique(prelims:0)
pizzutello	22	no_candidate
erypt	22	ambiguous(crypt:81/egypt:29)
seald	22	ambiguous(seal:10022/sealed:4843)
tuffree	22	ambiguous(toffee:0/unfree:0)
craprer	22	weak_unique(crapper:0)
tvne	22	ambiguous(tine:489/tune:240)
mvolving	22	weak_unique(evolving:49)
isonipecaine	22	no_candidate
subcounty	22	no_candidate
cusanovich	22	no_candidate
ceeeeeeeeeee	22	no_candidate
foothill-deanza	22	no_candidate
zoveinot	22	no_candidate
chetcuti	22	no_candidate
rapozo	22	weak_unique(rebozo:0)
alphaprodine	22	no_candidate
dextrorphan	22	no_candidate
lowincome	22	weak_unique(downcome:0)
nonstakes	22	no_candidate
felando	22	ambiguous(fernando:687/leland:239)
nonamortized	22	no_candidate
eecee	21	weak_unique(emcee:6)
tracted	21	ambiguous(traced:73/tracked:27)
fendant	21	ambiguous(pendant:6/fondant:5)
seeees	21	ambiguous(series:5877/serves:2389)
xiil	21	ambiguous(bill:115264/will:90047)
gompensa	21	weak_unique(gompers:4)
szorton	21	ambiguous(shorten:477/norton:176)
tering	21	ambiguous(tearing:191/turing:78)
eightytwo	21	no_candidate
comy	21	ambiguous(copy:49839/com:26945)
terrns	21	ambiguous(terns:49/terr's:0)
yood	21	ambiguous(food:25026/good:22901)
crection	21	ambiguous(creation:6474/erection:2193)
vated	21	ambiguous(voted:10300/dated:3666)
woder	21	ambiguous(wider:178/wader:76)
ployés	21	ambiguous(ploys:6/ploy's:0)
behool	21	ambiguous(behoof:8/befool:0)
ccccceeee	21	no_candidate
arnum	21	ambiguous(barnum:12/arum:0)
approprla	21	no_candidate
parls	21	ambiguous(parks:11023/parts:9450)
anyeles	21	weak_unique(aneles:3)
islative	21	ambiguous(illative:0/isolative:0)
beneht	21	weak_unique(benet:9)
ioint	21	ambiguous(joint:35127/point:21703)
cahtornia	21	no_candidate
onetenth	21	no_candidate
eome	21	ambiguous(home:35841/some:14503)
teeta	21	ambiguous(teeth:119/testa:54)
ficate	21	ambiguous(fichte:0/fixate:0)
notwithstand	21	no_candidate
nses	21	ambiguous(uses:10621/ness:3661)
bitect	21	weak_unique(bisect:1)
ained	21	ambiguous(mined:1722/fined:1453)
urgenev	21	weak_unique(turgenev:0)
msurers	21	weak_unique(usurers:0)
dinary	21	ambiguous(diary:20/binary:18)
cuaprerr	21	no_candidate
vouth	21	ambiguous(south:19815/youth:11333)
hicle	21	weak_unique(chicle:0)
mudsuckers	21	no_candidate
eeeeeeeeeeeees	21	no_candidate
nonovertime	21	no_candidate
asacondition	21	no_candidate
batiquitos	21	no_candidate
preimprisonment	21	no_candidate
nonelderly	21	no_candidate
hsted	21	ambiguous(hosted:11/hated:7)
metazocine	21	no_candidate
cytotechnologists	21	no_candidate
elijo	21	ambiguous(eli:143/lino:129)
eeeeneeee	21	no_candidate
nonformulary	21	no_candidate
nondepositary	21	no_candidate
dextropropoxyphene	21	no_candidate
unty	20	ambiguous(unto:181/unity:118)
eserves	20	ambiguous(reserves:3924/serves:2389)
srorton	20	ambiguous(shorten:477/norton:176)
viously	20	ambiguous(piously:0/vinously:0)
veyed	20	ambiguous(keyed:21/eyed:12)
seorton	20	ambiguous(shorten:477/norton:176)
ereeee	20	ambiguous(renee:1428/greene:682)
scce	20	weak_unique(syce:0)
cxxix	20	ambiguous(calix:1/cylix:0)
clvi	20	weak_unique(clavi:1)
twenty-fivo	20	no_candidate
taxen	20	ambiguous(taxes:51697/taken:40024)
eenees	20	ambiguous(renee:1428/levees:1326)
thereun	20	ambiguous(therein:36084/thereon:29056)
erented	20	ambiguous(erected:2817/rented:1617)
ovory	20	ambiguous(ivory:11/ovary:4)
atrect	20	ambiguous(street:31751/direct:25194)
ency	20	weak_unique(envy:9)
mocting	20	ambiguous(mocking:13/mooting:9)
paicl	20	weak_unique(pail:46)
fature	20	ambiguous(nature:12716/future:10938)
ishment	20	no_candidate
fortv	20	ambiguous(forth:55320/forty:18769)
joeal	20	weak_unique(joel:32)
bocly	20	ambiguous(only:103275/body:52039)
joval	20	ambiguous(oval:40/jovial:0)
obtaming	20	ambiguous(obtain:16852/obtaining:6980)
fecble-minded	20	weak_unique(feebleminded:42)
saultry	20	weak_unique(sultry:1)
sults	20	ambiguous(suits:1797/salts:911)
clusion	20	weak_unique(elusion:18)
creden	20	weak_unique(credent:1)
licensec	20	ambiguous(license:90825/licensed:40828)
exeeptions	20	ambiguous(exceptions:3487/exemptions:3296)
corrugata	20	weak_unique(corrugate:0)
eense	20	ambiguous(sense:588/cense:481)
nioney	20	ambiguous(money:62085/nine:21319)
carners	20	ambiguous(careers:330/corners:187)
erage	20	ambiguous(erase:71/rage:38)
habihty	20	ambiguous(habits:382/habit:267)
forty-fourtil	20	no_candidate
erative	20	ambiguous(elative:9/ergative:0)
oneeighth	20	no_candidate
mpose	20	ambiguous(impose:10824/pose:3736)
beope	20	ambiguous(people:109507/before:109151)
fpuled	20	ambiguous(puled:106/fouled:86)
appomtmen	20	no_candidate
procharter	20	ambiguous(recharter:0/trochanter:0)
nondegree	20	no_candidate
puddingstone	20	no_candidate
nonretail	20	weak_unique(nonmetal:2)
n-acetylanthranilic	20	no_candidate
hydrochlorofluorocarbon	20	no_candidate
nonpotentially	20	no_candidate
cmra	20	ambiguous(cara:28/cora:15)
eeneeeeeeeees	20	no_candidate
eneneeeeereees	20	no_candidate
weisenthal	20	weak_unique(wiesenthal:33)
kumeyaay	20	no_candidate
neneneeee	20	no_candidate
lazzaretto	20	weak_unique(lazaretto:1)
nelac	20	ambiguous(near:11893/delay:5310)
atplao	20	weak_unique(atlas:32)
benzilate	20	ambiguous(ventilate:15/benzoate:7)
noncharter	20	weak_unique(nonstarter:0)
valleyeast	20	no_candidate
kennick	20	ambiguous(kendrick:1/kenning:0)
talawa	20	weak_unique(tarawa:5)
nonsalary	20	no_candidate
penasquitos	20	no_candidate
porter-sesnon	20	no_candidate
sbdcs	20	ambiguous(sides:1020/secs:1003)
hesis	20	ambiguous(hess:28/thesis:17)
copermittee	20	no_candidate
comsetuction	20	no_candidate
coowned	20	ambiguous(crowned:16/clowned:0)
cxxvi	19	weak_unique(clavi:1)
stanislans	19	no_candidate
therco	19	ambiguous(thereof:160014/there:89357)
piumas	19	ambiguous(pumas:3/pimas:1)
ployer	19	ambiguous(player:144/plover:65)
senl	19	ambiguous(sell:17073/seal:10022)
cxxxix	19	no_candidate
clared	19	ambiguous(cared:590/cleared:272)
ccxi	19	ambiguous(xi:8065/cali:7090)
surn	19	ambiguous(turn:2104/sur:1893)
cighty-four	19	no_candidate
nually	19	weak_unique(dually:20)
cxcvi	19	ambiguous(cacti:41/cocci:3)
lecting	19	ambiguous(electing:2169/letting:918)
sules	19	ambiguous(rules:46125/sales:17772)
crar	19	ambiguous(car:2712/char:1123)
cntilled	19	weak_unique(untilled:0)
racts	19	ambiguous(acts:26740/facts:24865)
neering	19	ambiguous(needing:220/nearing:112)
umne	19	ambiguous(one:317854/use:116594)
statos	19	ambiguous(states:82035/stats:39154)
fiye	19	ambiguous(five:123871/file:41892)
eame	19	ambiguous(same:176551/name:61874)
oftive	19	ambiguous(office:138824/five:123871)
onment	19	ambiguous(intent:28035/consent:22731)
tinnin	19	ambiguous(tinning:6/tannin:2)
tifieate	19	weak_unique(titivate:1)
pliance	19	weak_unique(pliancy:0)
tutional	19	weak_unique(tuitional:0)
cighty-cight	19	no_candidate
didates	19	weak_unique(dilates:0)
conercte	19	ambiguous(concrete:608/coerce:254)
monumented	19	ambiguous(monument:1132/documented:927)
becorne	19	ambiguous(before:109151/become:63283)
earricr	19	ambiguous(carrier:10699/earlier:4055)
onefortieth	19	no_candidate
htigation	19	ambiguous(litigation:3213/mitigation:2127)
xita	19	ambiguous(rita:35/vita:32)
wuenrgas	19	no_candidate
nonrancid	19	weak_unique(nonacid:1)
honality	19	weak_unique(tonality:46)
vearly	19	ambiguous(early:3408/nearly:3119)
maximuin	19	weak_unique(maximin:0)
ennum	19	weak_unique(ennui:0)
issuecl	19	ambiguous(issued:89892/issue:43988)
recreationa	19	ambiguous(recreation:12432/recreational:7536)
appheatior	19	no_candidate
nbers	19	ambiguous(numbers:19025/needs:18816)
imtiative	19	weak_unique(imitative:4)
exudations	19	ambiguous(exudation:11/exudation's:0)
thermalito	19	no_candidate
nonlicensees	19	no_candidate
desoxyephedrine	19	no_candidate
koverman	19	weak_unique(overman:0)
caponette	19	ambiguous(caporetto:0/wagonette:0)
britschgi	19	no_candidate
short-dovle	19	no_candidate
biscailuz	19	no_candidate
reinjection	19	weak_unique(reinfection:0)
cceeeeeeeee	19	no_candidate
bilhon	19	weak_unique(billon:0)
calstart	19	no_candidate
noncharging	19	no_candidate
reaqa	19	weak_unique(reata:0)
misassignments	19	no_candidate
ghpp	19	ambiguous(ship:3901/chap:3086)
ultrapasteurized	19	no_candidate
administrathot	19	ambiguous(administration:31931/administrator:18788)
eeeeeeeeeeees	19	no_candidate
quiniela	19	no_candidate
ceceeee	18	no_candidate
cessive	18	weak_unique(essive:0)
benent	18	ambiguous(benet:9/bennet:1)
twoyear	18	weak_unique(twofer:0)
amonaem	18	no_candidate
cxii	18	ambiguous(xi:8065/cali:7090)
cxlix	18	ambiguous(calix:1/cylix:0)
clxxx	18	no_candidate
cxcii	18	ambiguous(cacti:41/cecil:28)
ccxix	18	ambiguous(calix:1/cylix:0)
cclx	18	weak_unique(calx:0)
polltax	18	ambiguous(poleax:0/pollux:0)
rolis	18	ambiguous(rolls:1873/solis:675)
clxvi	18	weak_unique(clavi:1)
erento	18	weak_unique(trento:0)
eont	18	ambiguous(ont:1269/eon:475)
proteet	18	ambiguous(protect:9465/protest:5569)
buve	18	weak_unique(bute:37)
alarch	18	ambiguous(larch:7/anarch:0)
acerne	18	ambiguous(accrue:2803/acre:2739)
cxxxiv	18	no_candidate
yold	18	ambiguous(sold:32668/hold:25575)
oilice	18	weak_unique(cilice:0)
facic	18	weak_unique(facia:7)
saucelito	18	no_candidate
crannell	18	weak_unique(cranwell:0)
boncls	18	weak_unique(bonces:0)
eeeene	18	ambiguous(greene:682/serene:317)
viee	18	ambiguous(vice:5987/view:3803)
settlors	18	ambiguous(settlor:395/settlers:232)
termot	18	weak_unique(termor:10)
supphed	18	weak_unique(supped:0)
duiy	18	ambiguous(duty:33491/duly:25971)
leasc	18	ambiguous(least:63279/lease:27131)
contmued	18	ambiguous(construed:19368/continued:11042)
perior	18	ambiguous(prior:102799/period:99289)
fered	18	ambiguous(feed:773/fred:596)
mder	18	weak_unique(oder:34)
ihere	18	ambiguous(there:89357/where:76940)
iwenty-second	18	no_candidate
iments	18	weak_unique(aments:1)
appropriatec	18	ambiguous(appropriated:49869/appropriate:48938)
fessional	18	ambiguous(fusional:0/passional:0)
remova	18	ambiguous(removal:15841/remove:7866)
proamended	18	weak_unique(promenaded:0)
dstnets	18	ambiguous(stets:23/donets:1)
forty-fipth	18	no_candidate
hling	18	ambiguous(fling:103/cling:52)
comphanee	18	no_candidate
usive	18	ambiguous(five:123871/use:116594)
dumng	18	weak_unique(dung:13)
onstruction	18	ambiguous(construction:56614/instruction:30434)
wueenreas	18	no_candidate
contams	18	ambiguous(contain:22497/contains:9783)
housmg	18	ambiguous(housing:34525/house:23056)
specul	18	weak_unique(specula:3)
hederacea	18	no_candidate
pubue	18	ambiguous(pub:4255/pursue:2155)
threeeighths	18	no_candidate
pereentum	18	no_candidate
retat	18	weak_unique(resat:0)
benents	18	weak_unique(bennets:0)
jacumba	18	weak_unique(macumba:0)
undenatured	18	ambiguous(indentured:101/denatured:85)
weitchpec	18	no_candidate
highty-first	18	no_candidate
berkemeyer	18	no_candidate
defosset	18	weak_unique(deforest:0)
suboffices	18	weak_unique(subofficer:0)
rnake	18	ambiguous(snake:42/rake:31)
chnic	18	ambiguous(chic:19/conic:3)
bioanalysts	18	weak_unique(biocatalysts:0)
cooper-molera	18	no_candidate
deanza	18	ambiguous(deana:1/deanna:1)
nonconsumer	18	no_candidate
subbasins	18	weak_unique(subbases:0)
ehmuinating	18	no_candidate
ocjp	18	ambiguous(oc:1073/cap:714)
nontraffic	18	no_candidate
eeeeeeeeeeeeeeeee	18	no_candidate
nondegenerative	18	no_candidate
oshpd	18	ambiguous(shed:208/shad:145)
precrisis	18	weak_unique(precises:0)
fredonyer	18	no_candidate
rerefined	18	weak_unique(redefined:9)
ecia	18	ambiguous(elia:10/aecia:1)
structing	17	weak_unique(strutting:0)
tablished	17	ambiguous(established:56306/published:27466)
erwise	17	ambiguous(revise:5026/wise:3675)
jected	17	ambiguous(ejected:36/jested:1)
etion	17	weak_unique(eton:12)
atory	17	ambiguous(tory:1674/story:705)
amaavit	17	ambiguous(akvavit:0/amadavat:0)
cxxi	17	ambiguous(xi:8065/cali:7090)
clxxi	17	weak_unique(clavi:1)
cciv	17	ambiguous(coin:2184/acid:1583)
cxlv	17	ambiguous(cal:15486/call:10135)
xcvii	17	no_candidate
srcrton	17	weak_unique(sacaton:0)
lxxxvi	17	no_candidate
surveyor-gencral	17	no_candidate
clocted	17	ambiguous(clotted:22/clocked:0)
byxbee	17	weak_unique(bawbee:0)
fenee	17	ambiguous(renee:1428/fence:1009)
aqt	17	ambiguous(at:465812/act:457162)
approverl	17	weak_unique(approver:19)
clxxvi	17	weak_unique(clavi:1)
cxcix	17	ambiguous(cecil:28/calix:1)
unincor	17	weak_unique(unicorn:0)
nupa	17	ambiguous(pupa:5/nipa:1)
necting	17	ambiguous(netting:23/nesting:19)
exeepted	17	ambiguous(exempted:4227/excepted:1900)
rorth	17	ambiguous(forth:55320/north:18794)
noder	17	ambiguous(oder:34/nuder:17)
nanees	17	ambiguous(nantes:4/ranees:1)
perey	17	ambiguous(perry:90/prey:44)
deterinine	17	ambiguous(determine:40531/determining:17387)
twenty-sizth	17	no_candidate
schomp	17	weak_unique(chomp:0)
constrnet	17	ambiguous(construed:19368/construct:11513)
whule	17	ambiguous(while:23982/whole:23964)
cxxiv	17	no_candidate
indebtednesses	17	weak_unique(indebtedness's:0)
reasonab	17	ambiguous(reasonable:41480/reason:24374)
lavor	17	ambiguous(labor:27236/favor:12991)
veur	17	ambiguous(veer:148/eur:74)
fiith	17	ambiguous(faith:7978/fifth:7700)
dential	17	ambiguous(dental:5989/denial:5072)
evurt	17	weak_unique(evert:16)
inelu	17	ambiguous(inlet:361/inert:185)
prolongated	17	weak_unique(prolongate:0)
laveaga	17	weak_unique(lavage:0)
weisbaum	17	no_candidate
valled	17	ambiguous(called:12133/valley:8712)
vlock	17	ambiguous(block:5347/clock:3340)
three-cighths	17	no_candidate
tocal	17	ambiguous(local:127353/total:59979)
onetwentieth	17	no_candidate
euts	17	ambiguous(nuts:805/cuts:524)
siens	17	ambiguous(liens:5542/signs:4714)
siaie	17	ambiguous(state:880230/said:424830)
sibility	17	ambiguous(liability:27341/ability:10771)
rnember	17	ambiguous(member:100238/number:88053)
declarec	17	ambiguous(declared:17788/declares:12242)
ttee	17	ambiguous(tee:1996/tree:1761)
meumbent	17	ambiguous(decumbent:0/recumbent:0)
servec	17	ambiguous(serve:27281/served:26748)
tenpoint	17	ambiguous(tenpin:7/gunpoint:1)
toint	17	ambiguous(joint:35127/point:21703)
plovees	17	weak_unique(plovers:7)
shaii	17	weak_unique(shari:0)
istrative	17	ambiguous(isolative:0/iterative:0)
resolut	17	weak_unique(resolute:8)
prousions	17	ambiguous(profusions:0/prolusions:0)
andriano	17	ambiguous(adrian:5/adriana:2)
mutualized	17	weak_unique(mutualize:4)
lienors	17	ambiguous(minors:6799/liens:5542)
register-pajaronian	17	no_candidate
guapys	17	ambiguous(grapes:1522/guards:852)
calleguas	17	no_candidate
sulfomethane	17	weak_unique(sulfonmethane:17)
damsites	17	ambiguous(campsites:30/adamsite:0)
pentemper	17	no_candidate
orthoptics	17	ambiguous(orthotics:14/orthoptic:0)
nonprinted	17	weak_unique(unprinted:3)
komandorski	17	no_candidate
eeeneeeeees	17	no_candidate
noncompacting	17	weak_unique(noncompeting:0)
levoalphacetylmethadol	17	no_candidate
tetrahydrocannabinols	17	weak_unique(tetrahydrocannabinol:18)
glutethimide	17	no_candidate
ccccceee	17	no_candidate
euthanasic	17	weak_unique(euthanasia:26)
busdrivers	17	no_candidate
eceeeeeee	17	no_candidate
sieroty	17	no_candidate
nonsafety	17	no_candidate
nonhousing	17	weak_unique(nonplusing:0)
levomethorphan	17	no_candidate
dimethoxy-alpha-methylphenethylamine	17	no_candidate
entihes	17	weak_unique(entices:47)
nonrecyclable	17	no_candidate
eeeeeeeeeeeeeeeeee	17	no_candidate
nonenterprise	17	no_candidate
twenty-siath	16	no_candidate
reeeee	16	ambiguous(referee:3927/redeem:1615)
oné	16	ambiguous(on:583809/one:317854)
cxiii	16	ambiguous(chili:32/chiai:0)
cxv	16	weak_unique(cav:6)
cxxxi	16	no_candidate
sxerion	16	ambiguous(exertion:9/sermon:7)
fuing	16	ambiguous(suing:131/fling:103)
ciates	16	ambiguous(crates:110/cites:69)
cxciv	16	weak_unique(cecil:28)
cxci	16	ambiguous(xi:8065/cali:7090)
cccx	16	ambiguous(cox:193/coca:113)
eightysix	16	no_candidate
eccee	16	weak_unique(emcee:6)
eenenee	16	no_candidate
unap	16	ambiguous(una:70/nap:36)
suly	16	ambiguous(july:75897/duly:25971)
lxxxii	16	no_candidate
